temperature,humidity,co2,fan_status
15.1,47.7,629.0,OFF
28.1,26.1,331.0,ON
23.2,59.6,458.0,OFF
16.2,43.3,620.0,OFF
30.0,50.1,320.0,ON
23.9,84.8,376.0,ON
26.2,38.6,320.0,OFF
24.3,69.3,415.0,OFF
25.8,43.1,779.0,OFF
21.5,40.1,439.0,OFF
28.3,40.2,493.0,ON
25.2,76.6,808.0,ON
19.5,87.5,495.0,ON
24.5,62.6,,OFF
27.4,15.0,511.0,OFF
16.2,46.8,501.0,OFF
-55.0,58.3,400.0,OFF
15.9,58.4,661.0,OFF
23.0,42.1,750.0,OFF
17.4,70.9,811.0,ON
16.4,62.4,658.0,OFF
28.5,47.1,691.0,ON
,44.4,552.0,ON
22.8,61.2,320.0,OFF
16.3,68.2,12430.0,OFF
19.6,47.1,425.0,OFF
19.9,86.3,569.0,ON
17.1,73.2,677.0,ON
22.8,58.7,739.0,OFF
18.0,40.1,672.0,OFF
31.2,86.5,1044.0,ON
20.3,49.9,598.0,OFF
17.8,39.7,728.0,OFF
26.7,35.5,400.0,OFF
27.8,70.3,787.0,ON
24.9,59.6,552.0,OFF
31.0,36.6,732.0,ON
,48.7,518.0,OFF
18.0,53.6,704.0,OFF
27.6,44.8,387.0,OFF
22.0,64.0,947.0,OFF
22.4,39.9,685.0,OFF
22.6,72.2,712.0,ON
26.2,62.7,602.0,OFF
26.7,50.7,382.0,OFF
20.0,55.3,711.0,OFF
24.8,40.3,652.0,OFF
23.8,46.7,607.0,OFF
19.2,57.4,758.0,OFF
27.9,79.9,582.0,ON
26.9,64.1,694.0,OFF
31.5,,555.0,ON
17.6,71.4,798.0,ON
30.6,62.0,1163.0,ON
,45.6,320.0,OFF
31.5,43.2,1048.0,ON
20.9,53.3,581.0,OFF
23.2,26.6,720.0,OFF
23.7,49.6,482.0,OFF
31.3,75.0,698.0,ON
29.0,67.5,837.0,ON
20.3,45.8,622.0,OFF
32.1,74.3,814.0,ON
20.0,38.6,653.0,OFF
18.9,57.6,775.0,OFF
24.1,64.1,974.0,OFF
20.8,42.6,511.0,OFF
24.0,34.1,781.0,OFF
21.3,61.5,772.0,OFF
24.2,53.1,560.0,OFF
29.9,42.8,320.0,ON
21.3,30.1,983.0,OFF
23.9,60.1,597.0,OFF
27.2,,742.0,ON
31.9,999.0,753.0,ON
23.1,60.8,9999.0,OFF
18.0,44.4,518.0,OFF
20.3,48.1,320.0,OFF
28.0,66.6,724.0,OFF
24.5,59.0,483.0,OFF
23.7,44.4,683.0,OFF
22.6,44.6,,OFF
21.6,55.8,932.0,OFF
21.0,64.4,684.0,OFF
23.2,67.1,699.0,OFF
17.1,43.8,786.0,OFF
21.6,30.1,914.0,OFF
22.5,32.3,480.0,OFF
26.2,71.9,655.0,ON
16.9,21.2,947.0,OFF
28.5,37.3,412.0,ON
17.9,29.1,846.0,OFF
26.2,45.2,341.0,OFF
31.5,60.8,719.0,ON
28.5,39.1,1015.0,ON
21.1,49.8,1040.0,ON
20.8,61.5,654.0,OFF
39.0,61.6,594.0,ON
23.7,65.7,569.0,OFF
85.0,76.1,819.0,ON
27.7,32.6,494.0,OFF
22.8,45.1,552.0,OFF
22.8,44.0,432.0,OFF
12.1,16.2,410.0,OFF
26.4,38.6,512.0,OFF
22.2,46.1,1201.0,ON
15.0,36.5,774.0,OFF
14.3,70.0,1130.0,ON
30.4,65.2,626.0,ON
25.7,64.5,,OFF
14.6,82.3,,ON
17.6,61.1,614.0,OFF
20.7,56.7,392.0,OFF
24.0,56.5,845.0,OFF
29.4,29.2,598.0,ON
29.7,50.7,360.0,ON
22.9,41.3,577.0,OFF
25.6,38.0,456.0,OFF
24.4,56.1,762.0,OFF
18.2,42.5,490.0,OFF
30.4,68.9,920.0,ON
24.8,51.4,714.0,OFF
16.6,32.6,449.0,OFF
26.0,24.2,374.0,OFF
13.0,69.5,1062.0,ON
26.3,31.7,320.0,OFF
20.7,40.8,783.0,OFF
16.0,71.2,898.0,ON
24.7,65.9,859.0,OFF
30.2,54.4,466.0,ON
28.3,47.9,585.0,ON
21.2,48.6,1173.0,ON
31.3,50.3,595.0,ON
29.0,42.4,543.0,ON
21.9,58.1,900.0,OFF
19.9,63.7,779.0,OFF
30.3,40.8,346.0,ON
23.8,,357.0,OFF
16.6,65.2,320.0,OFF
31.2,86.7,899.0,ON
31.0,65.5,695.0,ON
24.5,65.6,722.0,OFF
18.8,50.0,703.0,OFF
25.3,45.5,757.0,OFF
19.3,79.8,792.0,ON
21.3,84.9,883.0,ON
31.8,57.8,320.0,ON
22.1,56.5,746.0,OFF
23.5,66.8,982.0,OFF
34.7,60.4,511.0,ON
22.7,45.2,651.0,OFF
21.9,82.8,539.0,ON
19.9,150.0,403.0,OFF
20.8,72.2,427.0,ON
20.3,57.0,444.0,OFF
29.5,55.4,898.0,ON
34.1,36.1,632.0,ON
15.1,82.9,429.0,ON
16.7,57.8,587.0,OFF
22.7,71.4,320.0,ON
20.4,42.3,540.0,OFF
20.2,26.4,842.0,OFF
16.5,54.9,1012.0,ON
32.0,,912.0,ON
26.4,28.6,615.0,OFF
28.1,66.2,645.0,ON
24.4,54.4,697.0,OFF
26.7,34.8,968.0,OFF
27.0,61.9,325.0,OFF
30.6,70.3,614.0,ON
120.0,41.1,1034.0,ON
28.4,44.9,12430.0,ON
20.5,54.4,370.0,OFF
22.7,64.2,646.0,OFF
33.0,50.9,835.0,ON
29.8,71.4,692.0,ON
28.7,21.0,941.0,ON
19.9,52.9,1207.0,ON
24.0,55.3,517.0,OFF
17.3,33.4,765.0,OFF
21.6,38.2,788.0,OFF
22.2,67.2,619.0,OFF
28.7,61.1,-50.0,ON
21.3,53.4,725.0,OFF
24.0,70.9,520.0,ON
22.8,33.8,476.0,OFF
26.0,28.4,605.0,OFF
,49.3,605.0,ON
12.3,30.0,487.0,OFF
24.5,57.4,700.0,OFF
25.1,46.0,682.0,OFF
21.0,48.8,562.0,OFF
17.3,35.6,894.0,OFF
26.1,62.1,462.0,OFF
26.4,38.9,5000.0,ON
27.0,38.1,742.0,OFF
21.4,54.6,404.0,OFF
20.9,69.0,818.0,OFF
23.5,38.7,753.0,OFF
23.8,69.4,320.0,OFF
22.7,60.9,320.0,OFF
32.6,54.7,465.0,ON
26.0,70.5,1024.0,ON
,51.6,438.0,ON
26.4,53.2,669.0,OFF
14.8,,764.0,OFF
24.2,67.0,886.0,OFF
30.2,55.7,725.0,ON
14.1,53.7,667.0,OFF
29.1,46.1,727.0,ON
28.9,58.0,860.0,ON
23.9,69.8,536.0,OFF
19.5,68.0,587.0,OFF
21.5,36.3,847.0,OFF
23.3,66.6,1025.0,ON
15.1,59.4,321.0,OFF
21.6,47.1,675.0,OFF
24.0,52.1,745.0,OFF
25.8,81.7,320.0,ON
22.5,49.2,558.0,OFF
18.7,67.7,622.0,OFF
30.4,33.4,500.0,ON
21.4,44.0,687.0,OFF
23.4,46.1,552.0,OFF
16.2,58.1,738.0,OFF
22.5,60.7,707.0,OFF
27.8,63.6,662.0,OFF
27.2,56.0,320.0,OFF
26.5,47.4,426.0,OFF
27.3,39.0,778.0,OFF
19.9,72.6,650.0,ON
33.3,78.1,937.0,ON
9.1,59.3,561.0,OFF
27.2,59.2,577.0,OFF
25.8,60.1,543.0,OFF
25.4,57.4,775.0,OFF
14.7,35.1,320.0,OFF
23.9,71.1,827.0,ON
28.9,74.9,610.0,ON
,40.9,399.0,OFF
21.5,44.4,445.0,OFF
21.4,51.6,536.0,OFF
29.2,-12.0,1007.0,ON
24.6,27.2,320.0,OFF
28.5,34.6,957.0,ON
34.3,52.7,485.0,ON
26.9,66.0,801.0,OFF
30.8,55.4,869.0,ON
24.1,40.2,595.0,OFF
15.2,58.3,1043.0,ON
31.3,87.0,811.0,ON
23.0,,622.0,OFF
16.6,67.9,641.0,OFF
20.6,53.9,588.0,OFF
17.0,40.7,814.0,OFF
28.0,20.0,864.0,OFF
24.0,61.5,861.0,OFF
21.6,39.5,581.0,OFF
23.8,53.3,514.0,OFF
21.8,52.2,772.0,OFF
28.9,59.8,750.0,ON
23.4,36.5,320.0,OFF
17.7,58.1,498.0,OFF
20.2,62.7,594.0,OFF
-55.0,58.9,482.0,OFF
14.8,54.4,361.0,OFF
23.1,37.4,578.0,OFF
25.5,72.0,366.0,ON
26.0,50.2,320.0,OFF
24.8,70.5,725.0,ON
23.3,30.6,588.0,OFF
85.0,40.5,850.0,OFF
36.5,56.7,320.0,ON
18.6,75.8,844.0,ON
31.3,51.6,886.0,ON
23.9,50.9,831.0,OFF
28.5,78.4,587.0,ON
24.0,33.7,639.0,OFF
25.0,49.9,613.0,OFF
25.2,82.8,734.0,ON
19.0,54.1,706.0,OFF
12.9,180.0,520.0,OFF
26.3,42.8,751.0,OFF
26.4,62.0,847.0,OFF
31.4,17.6,-50.0,ON
16.5,55.6,569.0,OFF
31.4,63.6,617.0,ON
23.9,32.2,320.0,OFF
24.6,59.2,671.0,OFF
33.5,71.9,560.0,ON
28.3,45.0,807.0,ON
24.0,61.9,606.0,OFF
18.9,67.6,1050.0,ON
21.4,61.0,641.0,OFF
23.1,63.2,799.0,OFF
29.2,57.5,999.0,ON
24.4,,633.0,OFF
22.8,71.1,12430.0,ON
34.2,88.3,862.0,ON
21.2,,751.0,OFF
21.6,71.7,898.0,ON
30.3,69.7,377.0,ON
27.6,42.6,433.0,OFF
24.7,64.7,462.0,OFF
27.6,78.9,999.0,ON
29.0,50.0,691.0,ON
25.7,54.8,887.0,OFF
26.5,55.8,684.0,OFF
17.5,53.4,320.0,OFF
19.2,54.9,577.0,OFF
30.8,62.5,1016.0,ON
25.0,55.5,686.0,OFF
34.2,63.6,853.0,ON
18.3,63.1,668.0,OFF
16.2,62.1,698.0,OFF
19.9,53.2,856.0,OFF
26.9,53.4,661.0,OFF
26.4,180.0,660.0,OFF
15.2,81.3,1011.0,ON
18.6,,607.0,OFF
21.9,50.7,581.0,OFF
13.1,76.4,555.0,ON
27.6,71.4,484.0,ON
26.1,53.9,728.0,OFF
29.1,55.3,829.0,ON
24.2,40.2,1102.0,ON
16.1,64.7,468.0,OFF
17.4,65.6,696.0,OFF
16.2,67.2,785.0,OFF
21.6,52.7,401.0,OFF
20.8,58.8,943.0,OFF
23.1,89.8,387.0,ON
25.9,53.8,691.0,OFF
26.7,37.5,320.0,OFF
20.9,42.6,329.0,OFF
17.6,39.8,550.0,OFF
22.7,180.0,475.0,OFF
28.0,55.3,491.0,OFF
,39.6,1293.0,ON
29.3,57.0,867.0,ON
,48.9,540.0,OFF
22.4,46.0,595.0,OFF
21.9,80.9,692.0,ON
23.7,71.1,634.0,ON
120.0,68.6,531.0,ON
35.4,66.5,610.0,ON
13.8,65.4,976.0,OFF
17.6,59.1,749.0,OFF
19.6,69.5,860.0,OFF
19.4,61.4,625.0,OFF
25.5,37.9,563.0,OFF
26.8,60.5,676.0,OFF
250.0,43.2,953.0,OFF
26.7,35.9,379.0,OFF
21.0,40.4,574.0,OFF
21.3,77.0,972.0,ON
22.5,34.8,878.0,OFF
23.9,51.0,959.0,OFF
19.6,63.3,320.0,OFF
20.8,30.7,914.0,OFF
22.9,-12.0,632.0,OFF
29.3,47.6,651.0,ON
25.2,69.2,837.0,OFF
17.3,999.0,965.0,OFF
28.7,50.7,518.0,ON
32.9,56.8,874.0,ON
22.8,47.0,559.0,OFF
25.7,56.8,320.0,OFF
26.7,54.5,833.0,OFF
31.8,57.9,508.0,ON
26.4,33.0,484.0,OFF
22.7,63.4,690.0,OFF
26.9,54.2,512.0,OFF
21.4,82.6,606.0,ON
27.1,51.7,320.0,OFF
24.2,63.2,982.0,OFF
21.8,45.4,,OFF
19.8,49.7,939.0,OFF
27.6,30.7,639.0,OFF
19.9,80.4,361.0,ON
22.9,38.3,600.0,OFF
24.1,47.8,567.0,OFF
36.0,63.3,320.0,ON
23.8,57.5,320.0,OFF
,47.2,684.0,OFF
24.4,46.5,841.0,OFF
25.1,37.3,585.0,OFF
20.0,53.2,444.0,OFF
23.3,54.7,556.0,OFF
19.7,39.4,885.0,OFF
26.6,60.1,953.0,OFF
18.9,61.5,320.0,OFF
30.1,59.9,736.0,ON
16.4,51.1,938.0,OFF
29.7,64.2,533.0,ON
17.0,57.2,511.0,OFF
17.7,38.4,716.0,OFF
22.4,55.5,658.0,OFF
20.5,40.3,952.0,OFF
20.3,57.9,690.0,OFF
22.8,46.2,655.0,OFF
29.5,70.3,320.0,ON
22.3,52.3,599.0,OFF
23.4,55.9,408.0,OFF
16.7,69.6,729.0,OFF
21.8,80.9,324.0,ON
17.4,71.3,320.0,ON
20.5,51.7,615.0,OFF
29.1,55.2,853.0,ON
26.1,53.1,791.0,OFF
19.1,53.0,876.0,OFF
31.6,67.5,1128.0,ON
13.4,37.7,9999.0,OFF
25.8,180.0,452.0,OFF
20.3,53.6,687.0,OFF
25.2,35.9,909.0,OFF
,76.5,573.0,ON
,61.6,320.0,OFF
19.0,60.3,580.0,OFF
30.2,78.7,526.0,ON
17.9,28.5,882.0,OFF
15.3,45.6,550.0,OFF
20.2,47.4,632.0,OFF
29.8,35.9,1003.0,ON
17.3,57.6,751.0,OFF
21.2,43.2,688.0,OFF
24.5,68.1,386.0,OFF
24.3,48.6,1006.0,ON
,55.4,671.0,ON
24.2,57.7,550.0,OFF
18.2,54.6,596.0,OFF
17.2,65.5,585.0,OFF
22.4,66.7,380.0,OFF
24.4,45.8,943.0,OFF
12.1,61.4,744.0,OFF
22.6,54.4,628.0,OFF
25.9,78.9,337.0,ON
27.5,22.1,711.0,OFF
22.2,57.9,1007.0,ON
20.9,57.3,692.0,OFF
17.5,63.3,359.0,OFF
27.8,72.9,765.0,ON
16.5,43.3,750.0,OFF
23.2,34.3,485.0,OFF
22.9,48.6,378.0,OFF
12.8,46.2,754.0,OFF
25.2,62.9,656.0,OFF
24.4,-40.0,867.0,OFF
17.6,89.1,544.0,ON
20.4,66.9,1052.0,ON
24.7,55.2,464.0,OFF
24.6,48.9,610.0,OFF
19.9,56.6,483.0,OFF
21.6,42.2,749.0,OFF
23.0,999.0,645.0,OFF
24.2,40.1,378.0,OFF
27.6,71.5,839.0,ON
22.4,72.6,890.0,ON
18.2,48.2,743.0,OFF
16.9,55.7,836.0,OFF
16.9,999.0,1172.0,ON
21.4,31.0,,OFF
22.7,67.8,371.0,OFF
20.8,44.7,806.0,OFF
20.7,53.5,799.0,OFF
24.6,58.7,858.0,OFF
25.0,65.2,884.0,OFF
26.3,64.8,780.0,OFF
24.5,,740.0,OFF
,95.0,406.0,ON
23.5,58.4,523.0,OFF
23.2,43.6,626.0,OFF
23.5,46.1,874.0,OFF
18.8,52.3,898.0,OFF
28.1,59.2,349.0,ON
20.1,31.4,453.0,OFF
24.8,59.6,416.0,OFF
25.5,45.2,712.0,OFF
28.8,77.4,1100.0,ON
23.6,76.0,1204.0,ON
25.5,57.6,320.0,OFF
25.4,64.1,393.0,OFF
23.1,62.7,704.0,OFF
31.4,57.2,968.0,ON
18.9,29.7,738.0,OFF
17.9,65.8,,OFF
15.0,66.9,320.0,OFF
26.5,54.5,737.0,OFF
19.8,58.7,948.0,OFF
20.2,89.3,320.0,ON
29.9,60.6,476.0,ON
9.9,65.3,320.0,OFF
23.9,46.6,472.0,OFF
23.4,46.7,564.0,OFF
23.1,71.2,757.0,ON
17.1,53.8,382.0,OFF
26.6,47.5,743.0,OFF
26.0,35.3,630.0,OFF
31.5,63.8,808.0,ON
16.7,51.4,550.0,OFF
29.5,55.0,718.0,ON
23.7,53.3,681.0,OFF
30.3,41.9,598.0,ON
26.7,46.2,1082.0,ON
25.6,76.0,1009.0,ON
27.4,50.5,865.0,OFF
26.2,46.6,828.0,OFF
120.0,74.3,390.0,ON
21.6,56.2,548.0,OFF
26.7,50.5,932.0,OFF
26.6,51.3,854.0,OFF
21.9,15.0,604.0,OFF
14.7,53.5,941.0,OFF
15.3,77.5,707.0,ON
20.5,70.7,519.0,ON
27.6,84.4,817.0,ON
24.2,79.4,1064.0,ON
12.9,65.2,320.0,OFF
22.7,32.7,458.0,OFF
27.8,26.3,834.0,OFF
14.1,60.4,610.0,OFF
19.9,44.0,518.0,OFF
22.9,46.1,1002.0,ON
29.1,51.0,578.0,ON
15.6,150.0,864.0,OFF
18.1,63.3,551.0,OFF
26.3,75.8,381.0,ON
27.2,56.7,481.0,OFF
27.3,38.0,816.0,OFF
23.6,66.3,641.0,OFF
32.2,41.6,615.0,ON
24.1,58.0,579.0,OFF
22.2,62.1,320.0,OFF
24.3,73.8,540.0,ON
30.9,65.1,590.0,ON
25.2,44.8,354.0,OFF
23.5,37.0,320.0,OFF
21.6,62.5,671.0,OFF
28.8,49.6,723.0,ON
21.1,60.2,613.0,OFF
34.4,42.8,897.0,ON
33.9,61.1,850.0,ON
18.4,49.1,801.0,OFF
27.7,29.2,485.0,OFF
20.3,63.1,414.0,OFF
28.9,56.8,790.0,ON
27.8,57.7,686.0,OFF
25.5,47.6,557.0,OFF
29.2,48.0,819.0,ON
21.8,47.3,558.0,OFF
27.6,58.2,320.0,OFF
16.3,44.1,941.0,OFF
17.1,47.8,638.0,OFF
23.4,84.6,812.0,ON
23.8,35.9,521.0,OFF
19.3,62.9,862.0,OFF
18.6,180.0,378.0,OFF
16.5,60.6,529.0,OFF
30.1,72.8,477.0,ON
17.1,71.9,320.0,ON
22.1,80.2,326.0,ON
21.5,77.5,954.0,ON
31.1,52.3,1122.0,ON
30.1,-40.0,515.0,ON
23.9,29.6,399.0,OFF
24.8,58.9,434.0,OFF
18.3,59.0,897.0,OFF
25.8,52.0,320.0,OFF
18.1,75.1,937.0,ON
23.7,47.0,509.0,OFF
20.7,81.1,341.0,ON
29.5,66.5,734.0,ON
22.0,50.6,837.0,OFF
25.0,63.9,429.0,OFF
13.6,69.0,927.0,OFF
18.7,54.1,320.0,OFF
15.8,62.3,504.0,OFF
15.8,87.7,741.0,ON
18.8,34.3,922.0,OFF
31.4,,457.0,ON
23.4,47.3,574.0,OFF
23.9,55.6,461.0,OFF
24.6,57.0,320.0,OFF
32.4,41.7,637.0,ON
15.5,38.3,642.0,OFF
27.7,52.3,521.0,OFF
120.0,50.1,708.0,OFF
29.3,63.4,712.0,ON
18.9,70.8,401.0,ON
22.3,41.3,508.0,OFF
38.7,18.9,363.0,ON
31.7,15.0,320.0,ON
23.5,38.2,722.0,OFF
21.3,58.8,535.0,OFF
32.1,15.5,567.0,ON
22.4,44.5,583.0,OFF
23.4,39.2,712.0,OFF
28.0,56.0,621.0,OFF
26.3,54.2,847.0,OFF
,57.0,427.0,OFF
20.8,58.4,546.0,OFF
11.7,87.6,624.0,ON
23.7,75.7,320.0,ON
27.8,62.9,546.0,OFF
17.8,33.8,435.0,OFF
29.2,59.7,937.0,ON
30.2,62.8,578.0,ON
23.0,51.2,1050.0,ON
20.1,42.7,589.0,OFF
13.0,51.7,957.0,OFF
31.3,15.0,588.0,ON
27.3,55.8,815.0,OFF
26.8,93.3,648.0,ON
-55.0,84.8,320.0,ON
25.9,64.6,1062.0,ON
26.1,53.5,633.0,OFF
24.4,63.9,552.0,OFF
,56.9,718.0,OFF
35.4,19.7,320.0,ON
14.6,65.9,320.0,OFF
26.9,51.9,532.0,OFF
17.9,58.7,334.0,OFF
23.1,56.2,541.0,OFF
,48.6,992.0,OFF
18.4,81.6,511.0,ON
25.1,27.4,799.0,OFF
23.6,63.3,619.0,OFF
26.4,60.0,850.0,OFF
20.3,43.2,917.0,OFF
29.1,53.0,471.0,ON
24.3,80.9,748.0,ON
13.8,56.0,735.0,OFF
31.0,46.1,544.0,ON
,47.1,577.0,OFF
22.1,45.8,885.0,OFF
20.1,62.9,663.0,OFF
19.8,49.7,648.0,OFF
,37.9,845.0,OFF
31.9,54.4,706.0,ON
23.6,41.9,449.0,OFF
20.8,67.0,914.0,OFF
16.0,43.8,805.0,OFF
22.3,73.5,320.0,ON
22.0,66.8,735.0,OFF
21.1,20.3,809.0,OFF
19.5,21.5,760.0,OFF
23.5,94.1,425.0,ON
17.2,67.8,320.0,OFF
14.7,37.3,,OFF
18.9,58.8,925.0,OFF
28.8,60.3,709.0,ON
29.4,-40.0,1144.0,ON
25.5,39.8,690.0,OFF
18.4,41.0,,OFF
26.8,41.2,749.0,OFF
24.3,43.6,636.0,OFF
12.8,81.5,1040.0,ON
21.7,57.0,824.0,OFF
19.9,53.4,590.0,OFF
14.7,68.3,619.0,OFF
20.6,63.8,320.0,OFF
20.3,55.9,614.0,OFF
30.2,33.9,426.0,ON
22.6,94.4,461.0,ON
21.0,72.0,705.0,ON
26.3,51.6,490.0,OFF
250.0,44.6,864.0,OFF
24.6,76.7,657.0,ON
26.7,69.9,657.0,OFF
24.5,48.5,568.0,OFF
30.2,32.5,1025.0,ON
20.4,41.7,610.0,OFF
19.3,48.3,823.0,OFF
33.0,45.3,857.0,ON
25.7,45.3,909.0,OFF
21.5,65.7,517.0,OFF
15.7,43.4,581.0,OFF
-999.0,42.4,558.0,OFF
27.3,-40.0,320.0,ON
23.7,56.3,794.0,OFF
12.9,56.3,611.0,OFF
22.2,70.6,563.0,ON
17.9,46.4,948.0,OFF
24.4,54.2,840.0,OFF
23.6,44.6,,OFF
14.8,49.8,747.0,OFF
24.3,54.3,574.0,OFF
17.2,33.2,967.0,OFF
20.3,48.0,592.0,OFF
25.5,23.7,877.0,OFF
29.7,75.3,767.0,ON
120.0,61.9,500.0,OFF
23.2,46.8,546.0,OFF
22.0,40.0,613.0,OFF
20.8,26.6,670.0,OFF
28.1,73.3,572.0,ON
29.3,53.4,639.0,ON
22.9,60.1,726.0,OFF
30.5,46.6,552.0,ON
27.9,47.7,533.0,OFF
27.6,45.6,357.0,OFF
21.9,68.3,537.0,OFF
25.6,48.5,658.0,OFF
23.2,56.3,404.0,OFF
27.5,59.8,735.0,OFF
31.5,80.1,441.0,ON
26.6,68.6,909.0,OFF
22.9,46.8,693.0,OFF
18.9,59.7,842.0,OFF
16.0,51.4,950.0,OFF
24.0,41.1,381.0,OFF
27.5,44.1,883.0,OFF
27.5,44.0,687.0,OFF
30.7,48.9,937.0,ON
27.2,50.5,762.0,OFF
23.7,75.8,604.0,ON
25.5,68.8,491.0,OFF
24.1,51.7,494.0,OFF
19.0,59.7,320.0,OFF
27.2,55.2,647.0,OFF
8.0,55.8,553.0,OFF
19.9,43.5,385.0,OFF
24.9,47.6,576.0,OFF
21.5,57.1,693.0,OFF
31.4,55.9,361.0,ON
24.6,39.1,816.0,OFF
17.4,50.3,878.0,OFF
29.5,25.3,667.0,ON
22.5,47.6,5000.0,OFF
27.8,46.7,1056.0,ON
23.6,60.5,776.0,OFF
30.0,43.4,560.0,ON
27.1,68.9,512.0,OFF
16.3,,764.0,OFF
26.3,35.3,901.0,OFF
12.1,63.0,863.0,OFF
22.5,63.0,1122.0,ON
15.5,46.6,699.0,OFF
33.0,76.5,320.0,ON
29.8,43.3,578.0,ON
24.7,40.2,593.0,OFF
15.5,39.6,320.0,OFF
18.8,79.8,669.0,ON
19.6,49.6,731.0,OFF
24.0,37.0,678.0,OFF
29.1,79.6,642.0,ON
22.1,70.3,990.0,ON
18.5,41.0,535.0,OFF
21.8,67.2,508.0,OFF
25.8,53.7,475.0,OFF
24.7,38.5,680.0,OFF
27.8,62.4,654.0,OFF
23.1,44.0,,OFF
19.0,60.1,1052.0,ON
25.3,74.3,344.0,ON
22.9,63.7,785.0,OFF
22.2,25.2,1056.0,ON
27.6,54.6,750.0,OFF
23.9,43.0,837.0,OFF
27.4,67.3,708.0,OFF
17.4,75.8,570.0,ON
23.9,82.9,687.0,ON
20.1,48.2,475.0,OFF
19.1,41.4,1039.0,ON
34.0,27.9,865.0,ON
20.2,67.2,601.0,OFF
24.8,67.3,730.0,OFF
28.3,38.5,1205.0,ON
21.2,43.3,761.0,OFF
24.0,44.6,959.0,OFF
23.8,49.8,814.0,OFF
25.8,61.6,552.0,OFF
21.6,,550.0,OFF
22.3,71.7,542.0,ON
10.5,40.6,429.0,OFF
26.0,75.9,504.0,ON
22.5,42.4,512.0,OFF
33.2,59.1,9999.0,ON
27.5,33.6,832.0,OFF
23.6,49.5,752.0,OFF
