temperature,humidity,fan_status
35.4,66.5,ON
13.8,65.4,OFF
17.6,59.1,OFF
19.6,69.5,OFF
19.4,61.4,OFF
25.5,37.9,OFF
26.8,60.5,OFF
250,43.2,OFF
26.7,35.9,OFF
21,40.4,OFF
21.3,77,ON
22.5,34.8,OFF
23.9,51,OFF
19.6,63.3,OFF
20.8,30.7,OFF
22.9,-12,OFF
29.3,47.6,ON
25.2,69.2,OFF
17.3,999,OFF
28.7,50.7,ON
32.9,56.8,ON
22.8,47,OFF
25.7,56.8,OFF
26.7,54.5,OFF
31.8,57.9,ON
26.4,33,OFF
22.7,63.4,OFF
26.9,54.2,OFF
21.4,82.6,ON
27.1,51.7,OFF
24.2,63.2,OFF
21.8,45.4,OFF
19.8,49.7,OFF
27.6,30.7,OFF
19.9,80.4,ON
22.9,38.3,OFF
24.1,47.8,OFF
36,63.3,ON
23.8,57.5,OFF
,47.2,OFF
24.4,46.5,OFF
25.1,37.3,OFF
20,53.2,OFF
23.3,54.7,OFF
19.7,39.4,OFF
26.6,60.1,OFF
18.9,61.5,OFF
30.1,59.9,ON
16.4,51.1,OFF
29.7,64.2,ON
17,57.2,OFF
17.7,38.4,OFF
22.4,55.5,OFF
20.5,40.3,OFF
20.3,57.9,OFF
22.8,46.2,OFF
29.5,70.3,ON
22.3,52.3,OFF
23.4,55.9,OFF
16.7,69.6,OFF
21.8,80.9,ON
17.4,71.3,ON
20.5,51.7,OFF
29.1,55.2,ON
26.1,53.1,OFF
19.1,53,OFF
31.6,67.5,ON
13.4,37.7,OFF
25.8,180,OFF
20.3,53.6,OFF
25.2,35.9,OFF
,76.5,ON
,61.6,OFF
19,60.3,OFF
30.2,78.7,ON
17.9,28.5,OFF
15.3,45.6,OFF
20.2,47.4,OFF
29.8,35.9,ON
17.3,57.6,OFF
21.2,43.2,OFF
24.5,68.1,OFF
24.3,48.6,ON
,55.4,ON
24.2,57.7,OFF
18.2,54.6,OFF
17.2,65.5,OFF
22.4,66.7,OFF
24.4,45.8,OFF
12.1,61.4,OFF
22.6,54.4,OFF
25.9,78.9,ON
27.5,22.1,OFF
22.2,57.9,ON
20.9,57.3,OFF
17.5,63.3,OFF
27.8,72.9,ON
16.5,43.3,OFF
23.2,34.3,OFF
22.9,48.6,OFF
12.8,46.2,OFF
25.2,62.9,OFF
24.4,-40,OFF
17.6,89.1,ON
20.4,66.9,ON
24.7,55.2,OFF
24.6,48.9,OFF
19.9,56.6,OFF
21.6,42.2,OFF
23,999,OFF
24.2,40.1,OFF
27.6,71.5,ON
22.4,72.6,ON
18.2,48.2,OFF
16.9,55.7,OFF
16.9,999,ON
21.4,31,OFF
22.7,67.8,OFF
20.8,44.7,OFF
20.7,53.5,OFF
24.6,58.7,OFF
25,65.2,OFF
26.3,64.8,OFF
24.5,,OFF
,95,ON
23.5,58.4,OFF
23.2,43.6,OFF
23.5,46.1,OFF
18.8,52.3,OFF
28.1,59.2,ON
20.1,31.4,OFF
24.8,59.6,OFF
25.5,45.2,OFF
28.8,77.4,ON
23.6,76,ON
25.5,57.6,OFF
25.4,64.1,OFF
23.1,62.7,OFF
31.4,57.2,ON
18.9,29.7,OFF
17.9,65.8,OFF
15,66.9,OFF
26.5,54.5,OFF
19.8,58.7,OFF
20.2,89.3,ON
29.9,60.6,ON
9.9,65.3,OFF
23.9,46.6,OFF
23.4,46.7,OFF
23.1,71.2,ON
17.1,53.8,OFF
26.6,47.5,OFF
26,35.3,OFF
31.5,63.8,ON
16.7,51.4,OFF
29.5,55,ON
23.7,53.3,OFF
30.3,41.9,ON
26.7,46.2,ON
25.6,76,ON
27.4,50.5,OFF
26.2,46.6,OFF
120,74.3,ON
21.6,56.2,OFF
26.7,50.5,OFF
26.6,51.3,OFF
21.9,15,OFF
14.7,53.5,OFF
15.3,77.5,ON
20.5,70.7,ON
27.6,84.4,ON
24.2,79.4,ON
12.9,65.2,OFF
22.7,32.7,OFF
27.8,26.3,OFF
14.1,60.4,OFF
19.9,44,OFF
22.9,46.1,ON
29.1,51,ON
15.6,150,OFF
18.1,63.3,OFF
26.3,75.8,ON
27.2,56.7,OFF
27.3,38,OFF
23.6,66.3,OFF
32.2,41.6,ON
24.1,58,OFF
22.2,62.1,OFF
24.3,73.8,ON
30.9,65.1,ON
25.2,44.8,OFF
23.5,37,OFF
21.6,62.5,OFF
28.8,49.6,ON
21.1,60.2,OFF
34.4,42.8,ON
33.9,61.1,ON
18.4,49.1,OFF
27.7,29.2,OFF
20.3,63.1,OFF
28.9,56.8,ON
27.8,57.7,OFF
25.5,47.6,OFF
29.2,48,ON
21.8,47.3,OFF
27.6,58.2,OFF
16.3,44.1,OFF
17.1,47.8,OFF
23.4,84.6,ON
23.8,35.9,OFF
19.3,62.9,OFF
18.6,180,OFF
16.5,60.6,OFF
30.1,72.8,ON
17.1,71.9,ON
22.1,80.2,ON
21.5,77.5,ON
31.1,52.3,ON
30.1,-40,ON
23.9,29.6,OFF
24.8,58.9,OFF
18.3,59,OFF
25.8,52,OFF
18.1,75.1,ON
23.7,47,OFF
20.7,81.1,ON
29.5,66.5,ON
22,50.6,OFF
25,63.9,OFF
13.6,69,OFF
18.7,54.1,OFF
15.8,62.3,OFF
15.8,87.7,ON
18.8,34.3,OFF
31.4,,ON
23.4,47.3,OFF
23.9,55.6,OFF
24.6,57,OFF
32.4,41.7,ON
15.5,38.3,OFF
27.7,52.3,OFF
120,50.1,OFF
29.3,63.4,ON
18.9,70.8,ON
22.3,41.3,OFF
38.7,18.9,ON
31.7,15,ON
23.5,38.2,OFF
21.3,58.8,OFF
32.1,15.5,ON
22.4,44.5,OFF
23.4,39.2,OFF
28,56,OFF
26.3,54.2,OFF
,57,OFF
20.8,58.4,OFF
11.7,87.6,ON
23.7,75.7,ON
27.8,62.9,OFF
17.8,33.8,OFF
29.2,59.7,ON
30.2,62.8,ON
23,51.2,ON
20.1,42.7,OFF
13,51.7,OFF
31.3,15,ON
27.3,55.8,OFF
26.8,93.3,ON
-55,84.8,ON
25.9,64.6,ON
26.1,53.5,OFF
24.4,63.9,OFF
,56.9,OFF
35.4,19.7,ON
14.6,65.9,OFF
26.9,51.9,OFF
17.9,58.7,OFF
23.1,56.2,OFF
,48.6,OFF
18.4,81.6,ON
25.1,27.4,OFF
23.6,63.3,OFF
26.4,60,OFF
20.3,43.2,OFF
29.1,53,ON
24.3,80.9,ON
13.8,56,OFF
31,46.1,ON
,47.1,OFF
22.1,45.8,OFF
20.1,62.9,OFF
19.8,49.7,OFF
,37.9,OFF
31.9,54.4,ON
23.6,41.9,OFF
20.8,67,OFF
16,43.8,OFF
22.3,73.5,ON
22,66.8,OFF
21.1,20.3,OFF
19.5,21.5,OFF
23.5,94.1,ON
17.2,67.8,OFF
14.7,37.3,OFF
18.9,58.8,OFF
28.8,60.3,ON
29.4,-40,ON
25.5,39.8,OFF
18.4,41,OFF
26.8,41.2,OFF
24.3,43.6,OFF
12.8,81.5,ON
21.7,57,OFF
19.9,53.4,OFF
14.7,68.3,OFF
20.6,63.8,OFF
20.3,55.9,OFF
30.2,33.9,ON
22.6,94.4,ON
21,72,ON
26.3,51.6,OFF
250,44.6,OFF
24.6,76.7,ON
26.7,69.9,OFF
24.5,48.5,OFF
30.2,32.5,ON
20.4,41.7,OFF
19.3,48.3,OFF
33,45.3,ON
25.7,45.3,OFF
21.5,65.7,OFF
15.7,43.4,OFF
-999,42.4,OFF
27.3,-40,ON
23.7,56.3,OFF
12.9,56.3,OFF
22.2,70.6,ON
17.9,46.4,OFF
24.4,54.2,OFF
23.6,44.6,OFF
14.8,49.8,OFF
24.3,54.3,OFF
17.2,33.2,OFF
20.3,48,OFF
25.5,23.7,OFF
29.7,75.3,ON
120,61.9,OFF
23.2,46.8,OFF
22,40,OFF
20.8,26.6,OFF
28.1,73.3,ON
29.3,53.4,ON
22.9,60.1,OFF
30.5,46.6,ON
27.9,47.7,OFF
27.6,45.6,OFF
21.9,68.3,OFF
25.6,48.5,OFF
23.2,56.3,OFF
27.5,59.8,OFF
31.5,80.1,ON
26.6,68.6,OFF
22.9,46.8,OFF
18.9,59.7,OFF
16,51.4,OFF
24,41.1,OFF
27.5,44.1,OFF
27.5,44,OFF
30.7,48.9,ON
27.2,50.5,OFF
23.7,75.8,ON
25.5,68.8,OFF
24.1,51.7,OFF
19,59.7,OFF
27.2,55.2,OFF
8,55.8,OFF
19.9,43.5,OFF
24.9,47.6,OFF
21.5,57.1,OFF
31.4,55.9,ON
24.6,39.1,OFF
17.4,50.3,OFF
29.5,25.3,ON
22.5,47.6,OFF
27.8,46.7,ON
23.6,60.5,OFF
30,43.4,ON
27.1,68.9,OFF
16.3,,OFF
26.3,35.3,OFF
12.1,63,OFF
22.5,63,ON
15.5,46.6,OFF
33,76.5,ON
29.8,43.3,ON
24.7,40.2,OFF
15.5,39.6,OFF
18.8,79.8,ON
19.6,49.6,OFF
24,37,OFF
29.1,79.6,ON
22.1,70.3,ON
18.5,41,OFF
21.8,67.2,OFF
25.8,53.7,OFF
24.7,38.5,OFF
27.8,62.4,OFF
23.1,44,OFF
19,60.1,ON
25.3,74.3,ON
22.9,63.7,OFF
22.2,25.2,ON
27.6,54.6,OFF
23.9,43,OFF
27.4,67.3,OFF
17.4,75.8,ON
23.9,82.9,ON
20.1,48.2,OFF
19.1,41.4,ON
34,27.9,ON
20.2,67.2,OFF
24.8,67.3,OFF
28.3,38.5,ON
21.2,43.3,OFF
24,44.6,OFF
23.8,49.8,OFF
25.8,61.6,OFF
21.6,,OFF
22.3,71.7,ON
10.5,40.6,OFF
26,75.9,ON
22.5,42.4,OFF
33.2,59.1,ON
27.5,33.6,OFF
23.6,49.5,OFF
17.6,19.8,OFF
32.6,82.7,ON
22.6,54.5,OFF
26.7,33.2,OFF
23.4,56.1,OFF
25.4,53.5,OFF
24.4,,OFF
17.4,58.1,OFF
20.7,44.2,OFF
32.8,88.3,ON
25.2,52.1,OFF
27.6,51.8,OFF
20.4,60,OFF
23.6,65.6,OFF
29.4,36.6,ON
27,49.9,OFF
30.7,41.2,ON
15,69.4,OFF
25.3,61.2,OFF
38.5,34.4,ON
15.3,17.4,OFF
22.9,59.2,OFF
26.4,74.1,ON
26,74.2,ON
16.1,66.4,OFF
19.3,50.3,OFF
22.9,63.6,OFF
19.8,55.7,OFF
25.3,39,OFF
,23,OFF
22.1,43.2,OFF
20.3,69.1,OFF
20.1,40.3,ON
32.5,28.8,ON
26,59.1,OFF
25.1,55.8,OFF
22.3,44.1,OFF
32.3,60.8,ON
25.6,57.9,ON
29.8,,ON
19.4,-40,OFF
27.9,49.9,OFF
27.6,51.3,OFF
120,49.2,OFF
16.2,58.9,OFF
20.4,65,OFF
21.4,65.8,OFF
29.3,76.5,ON
21.4,50.1,OFF
19.8,47.4,OFF
22.3,41.5,OFF
,61.1,OFF
17.5,59,OFF
22.3,52.2,OFF
28.9,65,ON
27.5,43.6,OFF
26.5,58.1,OFF
26.3,41.9,OFF
26,62.7,OFF
20.9,62.3,ON
18.4,41.2,OFF
23,999,OFF
16.6,47,OFF
35.9,39.5,ON
19.5,78.7,ON
29.9,73.6,ON
26.3,74.5,ON
25.4,20.9,OFF
27.5,59.4,OFF
24.7,40.6,OFF
20.5,68,OFF
30.5,79.3,ON
22.9,37.1,OFF
33.7,66.9,ON
85,49,ON
24.7,,ON
30,62.5,ON
18.2,62.7,OFF
31.9,50.8,ON
26.9,66.6,OFF
20.4,46.8,OFF
10.7,47.2,OFF
18.8,55.1,OFF
28.7,47.1,ON
23.2,39.9,OFF
26.3,20.6,OFF
22.2,,ON
25,66.4,OFF
20.8,76.7,ON
28.8,40.3,ON
23.8,67.1,OFF
26.2,72.4,ON
27.7,48.6,OFF
30.9,66.9,ON
22.8,60.4,OFF
28.2,55.9,ON
23.2,61.8,OFF
21.4,23,OFF
22.4,75.8,ON
15.4,65.7,OFF
23.4,44.6,OFF
24.5,62.9,OFF
20.5,46.2,OFF
27.1,59.7,OFF
19.7,44.9,OFF
25.6,54.1,OFF
18,48.1,OFF
23.3,53.9,OFF
28.5,44.9,ON
22.2,65.4,OFF
30.4,45.1,ON
29.3,44,ON
22.5,55.9,OFF
23.6,42.8,OFF
26,53.1,ON
24.1,37.4,OFF
18.7,56.5,OFF
28.1,49.1,ON
33.4,50.1,ON
19.7,59.1,OFF
22.8,58.7,ON
25.5,63.3,OFF
30.6,91.3,ON
32.8,60.3,ON
18.8,69.8,OFF
16,67.2,OFF
27.1,48.1,OFF
26.8,71.7,ON
26.6,83,ON
25.6,73.9,ON
24.6,41.4,OFF
27.8,67.6,OFF
21.3,38.3,OFF
12.8,40.9,OFF
25.6,51.8,OFF
20.4,74.4,ON
29,56.7,ON
30.4,45.4,ON
16.3,53.6,OFF
29.4,69.2,ON
24.4,40.3,OFF
20.5,63.3,OFF
29.8,-12,ON
28.8,37.1,ON
31.5,78.8,ON
31.3,48.6,ON
23.3,61.5,OFF
29.4,56.5,ON
24.9,67.4,OFF
26.1,57.3,OFF
20.9,73.4,ON
22.5,47.8,OFF
24.6,-12,OFF
20.7,74.8,ON
21.8,54.5,OFF
20.9,73.5,ON
31.4,66.9,ON
25.7,71.7,ON
19.1,46.9,OFF
24.4,999,OFF
26,30.7,OFF
27.3,72.5,ON
23.2,33.3,OFF
24.3,,OFF
26.9,180,ON
15.4,50.6,OFF
27.8,35.4,OFF
17.6,44.9,OFF
31.6,54.9,ON
23.1,,OFF
23.2,49.3,OFF
20.2,48.4,OFF
27.7,42.9,OFF
28.4,68,ON
,23.5,OFF
24.5,67.2,OFF
23.3,71,ON
25.9,58.8,OFF
23.6,47.5,OFF
24.9,75,ON
23.8,53.6,OFF
32.8,61.6,ON
18.1,26.4,OFF
23.9,67.1,OFF
22.3,81.8,ON
31.4,70,ON
17.1,64.9,OFF
22.6,64,OFF
25.6,70.9,ON
26.6,999,OFF
23.9,49.4,ON
22.4,54.6,OFF
23.3,34,OFF
21.6,68.3,OFF
33,33.7,ON
21.2,77.8,ON
35.7,52.7,ON
31.8,63.2,ON
24.7,31.2,OFF
28.4,40.2,ON
22.9,56.4,OFF
25.4,44.8,OFF
27,74.9,ON
20.2,57,OFF
26,70.4,ON
25.6,71.7,ON
27.2,48.8,OFF
15.3,52.6,OFF
31.2,63.1,ON
13.9,48.8,OFF
25.5,42.1,OFF
21.8,40.9,OFF
28.6,88.3,ON
27.5,40.5,OFF
26.9,55.3,OFF
32.2,73.3,ON
28.4,63.8,ON
32.1,66.9,ON
28.2,38.5,ON
23.8,65.1,OFF
22.3,70.5,ON
20.9,63.4,OFF
19.8,76,ON
34.3,48.3,ON
21.2,44.4,ON
24.2,57.8,OFF
25.1,15,OFF
29.6,32.8,ON
,34.7,ON
29.3,55.5,ON
29.6,-12,ON
21,,OFF
27.3,45.6,OFF
21.1,67.2,OFF
30.2,66.9,ON
22.1,55.3,OFF
25.5,61.6,OFF
18.7,52.3,OFF
20.2,71.3,ON
26.4,43,ON
,51.2,OFF
34.3,66.3,ON
16.8,70.2,ON
21.5,31,OFF
16.9,79.8,ON
20.6,43.4,ON
17,,OFF
23.1,25.2,ON
21.8,55.2,OFF
16.6,50.2,OFF
21.6,81,ON
-55,77.4,ON
19.4,35.1,OFF
26.3,56,OFF
26.2,55.9,OFF
20.9,49.5,OFF
21.2,57.4,OFF
24.4,46.9,OFF
26.3,999,ON
21.9,71.4,ON
21.2,66,OFF
25.9,75.1,ON
15.2,49.5,OFF
16.8,56.2,OFF
23.5,49.1,OFF
25.6,,ON
19.3,64.8,OFF
25.6,70,OFF
26.4,40.4,OFF
9.7,57.5,OFF
26.3,38.5,OFF
19.2,62.2,OFF
20.5,65.8,OFF
23.1,38.5,OFF
,60.7,OFF
19,57.3,OFF
23.7,57.2,OFF
29.5,65,ON
28.2,56.1,ON
18.3,59.9,OFF
24.4,42.6,OFF
26,50.5,OFF
21.3,58.8,OFF
22.5,51.8,OFF
20.1,53.6,OFF
19.1,48.6,OFF
21.4,73.3,ON
26,26.7,OFF
21.7,57.4,OFF
23.8,52,OFF
23.2,49.7,OFF
29.9,25.2,ON
27.1,89.9,ON
29.8,68,ON
20,41.2,OFF
17.5,48.9,OFF
25.1,57.3,OFF
24.9,79.7,ON
28.5,74.1,ON
29.6,58.9,ON
24.5,48.1,OFF
29.5,51.6,ON
21.1,34.9,OFF
25.5,54.7,OFF
14,-40,OFF
25.6,30.6,OFF
20,28.9,OFF
20.9,49.7,OFF
24.8,95,ON
26.2,53.6,OFF
19,65.4,OFF
20.7,64.2,OFF
18.1,61.8,OFF
23.5,52.9,OFF
18.2,48,ON
21.7,64.9,OFF
21.8,46.3,OFF
18.4,65.6,OFF
19.9,32.4,OFF
28.2,56.3,ON
27.8,57.1,OFF
21.3,54.9,OFF
23.5,30.1,OFF
22.1,150,OFF
21.1,62.3,OFF
14.7,64.9,OFF
24.9,40.9,OFF
25.2,80.8,ON
21.3,,ON
120,91.4,ON
20.7,89.2,ON
24.7,59.2,OFF
8.3,73.5,ON
20.3,53.7,OFF
21.7,,OFF
17.6,42.2,OFF
26.8,60.7,OFF
15.5,,OFF
28.1,47,ON
19.5,59.4,OFF
17.9,34,OFF
19.6,81.3,ON
31.3,55,ON
21.4,66.2,OFF
,56.3,OFF
25.2,72.7,ON
18.9,51.2,OFF
18.3,45.5,OFF
35.7,51.9,ON
27,61.3,OFF
25.6,28,ON
24.5,66.4,OFF
32.5,95,ON
22.3,72,ON
33.1,75.4,ON
14.3,50.9,OFF
20.7,36.6,OFF
,52.9,OFF
26.6,55.3,OFF
13,76.2,ON
28.7,49.1,ON
24.5,35.4,OFF
24.4,39,OFF
